rel,att,img,graph,acc_l2r
100,100,200,200,0.1855
100,100,200,100,0.2121
100,100,200,50,0.2053
100,100,200,10,0.3836
100,100,100,200,0.1929
100,100,100,100,0.2087
100,100,100,50,0.2025
100,100,100,10,0.2395
100,100,50,200,0.187
100,100,50,100,0.1915
100,100,50,50,0.2017
100,100,50,10,0.2784
100,100,10,200,0.1854
100,100,10,100,0.1916
100,100,10,50,0.2059
100,100,10,10,0.3163
100,50,200,200,0.1977
100,50,200,100,0.2142
100,50,200,50,0.2222
100,50,200,10,0.2355
100,50,100,200,0.2153
100,50,100,100,0.2108
100,50,100,50,0.2119
100,50,100,10,0.2799
100,50,50,200,0.181
100,50,50,100,0.191
100,50,50,50,0.1883
100,50,50,10,0.2923
100,50,10,200,0.1714
100,50,10,100,0.1894
100,50,10,50,0.1622
100,50,10,10,0.1838
100,10,200,200,0.1554
100,10,200,100,0.161
100,10,200,50,0.1941
100,10,200,10,0.2651
100,10,100,200,0.1638
100,10,100,100,0.1761
100,10,100,50,0.1946
100,10,100,10,0.2172
100,10,50,200,0.1584
100,10,50,100,0.1756
100,10,50,50,0.1859
100,10,50,10,0.2544
100,10,10,200,0.1607
100,10,10,100,0.1646
100,10,10,50,0.175
100,10,10,10,0.243
50,100,200,200,0.191
50,100,200,100,0.211
50,100,200,50,0.2163
50,100,200,10,0.2284
50,100,100,200,0.2129
50,100,100,100,0.2084
50,100,100,50,0.2074
50,100,100,10,0.2782
50,100,50,200,0.1749
50,100,50,100,0.1835
50,100,50,50,0.1842
50,100,50,10,0.2874
50,100,10,200,0.1652
50,100,10,100,0.1805
50,100,10,50,0.1548
50,100,10,10,0.1779
50,50,200,200,0.1773
50,50,200,100,0.201
50,50,200,50,0.1663
50,50,200,10,0.2775
50,50,100,200,0.1657
50,50,100,100,0.1783
50,50,100,50,0.1656
50,50,100,10,0.2291
50,50,50,200,0.1931
50,50,50,100,0.19
50,50,50,50,0.2116
50,50,50,10,0.1963
50,50,10,200,0.1633
50,50,10,100,0.1635
50,50,10,50,0.175
50,50,10,10,0.2244
50,10,200,200,0.1693
50,10,200,100,0.1716
50,10,200,50,0.1846
50,10,200,10,0.2647
50,10,100,200,0.1629
50,10,100,100,0.1809
50,10,100,50,0.199
50,10,100,10,0.2248
50,10,50,200,0.1568
50,10,50,100,0.1736
50,10,50,50,0.2015
50,10,50,10,0.2537
50,10,10,200,0.1323
50,10,10,100,0.1431
50,10,10,50,0.1768
50,10,10,10,0.204
10,100,200,200,0.1178
10,100,200,100,0.1234
10,100,200,50,0.1521
10,100,200,10,0.2354
10,100,100,200,0.1272
10,100,100,100,0.1351
10,100,100,50,0.1525
10,100,100,10,0.1777
10,100,50,200,0.1225
10,100,50,100,0.1377
10,100,50,50,0.1466
10,100,50,10,0.2159
10,100,10,200,0.1232
10,100,10,100,0.125
10,100,10,50,0.1343
10,100,10,10,0.2047
10,50,200,200,0.1342
10,50,200,100,0.1356
10,50,200,50,0.1482
10,50,200,10,0.2276
10,50,100,200,0.1263
10,50,100,100,0.1409
10,50,100,50,0.1639
10,50,100,10,0.1852
10,50,50,200,0.1229
10,50,50,100,0.1398
10,50,50,50,0.1628
10,50,50,10,0.2154
10,50,10,200,0.1002
10,50,10,100,0.1118
10,50,10,50,0.1411
10,50,10,10,0.167
10,10,200,200,0.1194
10,10,200,100,0.1293
10,10,200,50,0.1328
10,10,200,10,0.216
10,10,100,200,0.1066
10,10,100,100,0.1049
10,10,100,50,0.1156
10,10,100,10,0.1303
10,10,50,200,0.1063
10,10,50,100,0.1187
10,10,50,50,0.1189
10,10,50,10,0.1504
10,10,10,200,0.1023
10,10,10,100,0.0907
10,10,10,50,0.1258
10,10,10,10,0.1201
